programme_code,programme_name,question,option_A,option_B,option_C,option_D,answer,answer_text
WASH,"Water, Sanitation and Hygiene (WASH)","Which innovation is TYPICAL of Water, Sanitation and Hygiene (WASH)?",automation and data-driven decision tools,fecal sludge management and hygiene nudges,remedial education and playful learning,evidence-led messaging and storytelling,B,fecal sludge management and hygiene nudges
WASH,"Water, Sanitation and Hygiene (WASH)","Which risk or challenge is Water, Sanitation and Hygiene (WASH) MOST concerned with?",water contamination and poor sanitation,urban disaster and infrastructure gaps,service fragmentation and access barriers,climate variability and slow-onset stresses,A,water contamination and poor sanitation
IDP,Integrated Development Programme (IDP),Which area is MOST central to Integrated Development Programme (IDP)?,primary health and community health systems,integrated rural development,ultra-poverty graduation,agri-inputs and improved seed,B,integrated rural development
IDP,Integrated Development Programme (IDP),Who are the primary participants/beneficiaries for Integrated Development Programme (IDP)?,school-age children,low-income entrepreneurs,households and schools,hard-to-reach communities,D,hard-to-reach communities
IDP,Integrated Development Programme (IDP),Which activity best matches Integrated Development Programme (IDP)’s core work?,"milk collection, processing and distribution","sequenced support: assets, coaching and savings",multi-sector services through one platform,multi-sector humanitarian assistance,C,multi-sector services through one platform
IDP,Integrated Development Programme (IDP),Which Sustainable Development Goal aligns BEST with Integrated Development Programme (IDP)?,SDG 1: No Poverty,SDG 13: Climate Action,"SDG 9: Industry, Innovation and Infrastructure","SDG 16: Peace, Justice and Strong Institutions",A,SDG 1: No Poverty
IDP,Integrated Development Programme (IDP),Integrated Development Programme (IDP) operates primarily in which setting?,milk sheds and markets,enterprise IT and field tech,cities and towns,char/haor/remote areas,D,char/haor/remote areas
IDP,Integrated Development Programme (IDP),Which indicator BEST reflects success for Integrated Development Programme (IDP)?,safe water access and improved sanitation use,sustained income and asset growth,households reached across multiple services,gender-responsive policies and practices,C,households reached across multiple services
IDP,Integrated Development Programme (IDP),Integrated Development Programme (IDP) commonly partners with which stakeholders?,community groups and financial institutions,civil society and media,local government and programme clusters,"government, recruiters and service providers",C,local government and programme clusters
IDP,Integrated Development Programme (IDP),What is the MAIN delivery channel used by Integrated Development Programme (IDP)?,community platforms and ward-level forums,household visits and health campaigns,one-stop centres and outreach,"clubs, bootcamps and events",C,one-stop centres and outreach
IDP,Integrated Development Programme (IDP),Which innovation is TYPICAL of Integrated Development Programme (IDP)?,co-located services and last-mile delivery,gender audits and inclusive design,community early warning and contingency planning,paralegal support and safe referral systems,A,co-located services and last-mile delivery
IDP,Integrated Development Programme (IDP),Which risk or challenge is Integrated Development Programme (IDP) MOST concerned with?,service fragmentation and access barriers,income shocks and limited collateral,"violence, exploitation and legal exclusion","disease, water quality and input costs",A,service fragmentation and access barriers
GJD,Gender Justice & Diversity (GJD),Which area is MOST central to Gender Justice & Diversity (GJD)?,gender justice and diversity,"water, sanitation and hygiene",disaster risk reduction and preparedness,saplings and horticulture,A,gender justice and diversity
GJD,Gender Justice & Diversity (GJD),Who are the primary participants/beneficiaries for Gender Justice & Diversity (GJD)?,farmers,youth and jobseekers,"women, girls and marginalised groups",BRAC programmes and clients,C,"women, girls and marginalised groups"
GJD,Gender Justice & Diversity (GJD),Which activity best matches Gender Justice & Diversity (GJD)’s core work?,gender mainstreaming and training,locally led adaptation planning and pilots,improving access to basic services in informal settlements,self-learning worksheets and guided practice,A,gender mainstreaming and training
GJD,Gender Justice & Diversity (GJD),Which Sustainable Development Goal aligns BEST with Gender Justice & Diversity (GJD)?,SDG 1: No Poverty,SDG 4: Quality Education,SDG 5: Gender Equality,SDG 15: Life on Land,C,SDG 5: Gender Equality
GJD,Gender Justice & Diversity (GJD),Gender Justice & Diversity (GJD) operates primarily in which setting?,agricultural regions,institutions and communities,enterprise IT and field tech,community justice and referral networks,B,institutions and communities
GJD,Gender Justice & Diversity (GJD),Which indicator BEST reflects success for Gender Justice & Diversity (GJD)?,gender-responsive policies and practices,people reached with timely support,safe water access and improved sanitation use,milk quality and volumes processed,A,gender-responsive policies and practices
GJD,Gender Justice & Diversity (GJD),Gender Justice & Diversity (GJD) commonly partners with which stakeholders?,"ministries, CSOs and networks","government, recruiters and service providers",city corporations and local government bodies,growers and local distributors,A,"ministries, CSOs and networks"
GJD,Gender Justice & Diversity (GJD),What is the MAIN delivery channel used by Gender Justice & Diversity (GJD)?,coaching visits and group platforms,capacity building and advocacy,"risk alerts, drills and training",group meetings and field visits,B,capacity building and advocacy
GJD,Gender Justice & Diversity (GJD),Which innovation is TYPICAL of Gender Justice & Diversity (GJD)?,quality testing and value-added products,youth-led solutions and peer learning,co-located services and last-mile delivery,gender audits and inclusive design,D,gender audits and inclusive design
GJD,Gender Justice & Diversity (GJD),Which risk or challenge is Gender Justice & Diversity (GJD) MOST concerned with?,discrimination and harmful norms,"fraud, exploitation and misinformation",displacement and protection risks,low seed quality and yield gaps,A,discrimination and harmful norms
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which area is MOST central to BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,youth leadership and opportunities,aquaculture and fisheries services,migration support services,dairy processing and nutrition,C,migration support services
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Who are the primary participants/beneficiaries for BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,smallholder farmers and consumers,aspiring and returning migrants,"women, girls and marginalised groups",climate-vulnerable households,B,aspiring and returning migrants
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which activity best matches BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)’s core work?,"information, counselling and linkage to services",microloans and financial literacy,advocacy campaigns and policy dialogue,"fingerlings, feed and best practices",A,"information, counselling and linkage to services"
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which Sustainable Development Goal aligns BEST with BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,SDG 3: Good Health and Well-being,SDG 10: Reduced Inequalities,SDG 2: Zero Hunger,"SDG 16: Peace, Justice and Strong Institutions",B,SDG 10: Reduced Inequalities
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),BRAC PROBASHBANDHU LTD (BPL) (Migration Programme) operates primarily in which setting?,migration hubs and community centres,salinity- and flood-affected regions,community and policy platforms,learning centres and home study,A,migration hubs and community centres
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which indicator BEST reflects success for BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,repayment rates and enterprise growth,clients counselled and safe migration outcomes,literacy/numeracy gains and retention,job placement and earnings,B,clients counselled and safe migration outcomes
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),BRAC PROBASHBANDHU LTD (BPL) (Migration Programme) commonly partners with which stakeholders?,hatcheries and extension providers,local government and programme clusters,"government, recruiters and service providers",local government and technical agencies,C,"government, recruiters and service providers"
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),What is the MAIN delivery channel used by BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,community shalish and helplines,work-based learning and certification,"helplines, centres and digital info","edutainment, dialogues and community mobilisation",C,"helplines, centres and digital info"
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which innovation is TYPICAL of BRAC PROBASHBANDHU LTD (BPL) (Migration Programme)?,pre-departure orientation and referrals,salinity-smart practices and vulnerability mapping,competency-based curricula and RPL,community early warning and contingency planning,A,pre-departure orientation and referrals
BPL,BRAC PROBASHBANDHU LTD (BPL) (Migration Programme),Which risk or challenge is BRAC PROBASHBANDHU LTD (BPL) (Migration Programme) MOST concerned with?,learning gaps and foundational skill deficits,skills mismatch and job scarcity,"fraud, exploitation and misinformation",low seed quality and yield gaps,C,"fraud, exploitation and misinformation"
UPG,Ultra-Poor Graduation Programme (UPG),Which area is MOST central to Ultra-Poor Graduation Programme (UPG)?,gender justice and diversity,ultra-poverty graduation,social empowerment and legal aid,urban services and inclusive city development,B,ultra-poverty graduation
UPG,Ultra-Poor Graduation Programme (UPG),Who are the primary participants/beneficiaries for Ultra-Poor Graduation Programme (UPG)?,school-age children,ultra-poor households,smallholder farmers and consumers,hazard-exposed communities,B,ultra-poor households
UPG,Ultra-Poor Graduation Programme (UPG),Which activity best matches Ultra-Poor Graduation Programme (UPG)’s core work?,"sequenced support: assets, coaching and savings",safe water access and sanitation behaviour change,community health workers and clinics,production and distribution of quality seed,A,"sequenced support: assets, coaching and savings"
UPG,Ultra-Poor Graduation Programme (UPG),Which Sustainable Development Goal aligns BEST with Ultra-Poor Graduation Programme (UPG)?,SDG 13: Climate Action,SDG 3: Good Health and Well-being,SDG 8: Decent Work and Economic Growth,SDG 1: No Poverty,D,SDG 1: No Poverty
UPG,Ultra-Poor Graduation Programme (UPG),Ultra-Poor Graduation Programme (UPG) operates primarily in which setting?,communities and health facilities,community and policy platforms,camps and host communities,rural and peri-urban,D,rural and peri-urban
UPG,Ultra-Poor Graduation Programme (UPG),Which indicator BEST reflects success for Ultra-Poor Graduation Programme (UPG)?,sustained income and asset growth,milk quality and volumes processed,campaign reach and engagement,saplings sold and survival rates,A,sustained income and asset growth
UPG,Ultra-Poor Graduation Programme (UPG),Ultra-Poor Graduation Programme (UPG) commonly partners with which stakeholders?,local government and MFIs,research institutes and dealers,city corporations and local government bodies,civil society and media,A,local government and MFIs
UPG,Ultra-Poor Graduation Programme (UPG),What is the MAIN delivery channel used by Ultra-Poor Graduation Programme (UPG)?,agro-dealer networks and demos,community platforms and ward-level forums,work-based learning and certification,coaching visits and group platforms,D,coaching visits and group platforms
UPG,Ultra-Poor Graduation Programme (UPG),Which innovation is TYPICAL of Ultra-Poor Graduation Programme (UPG)?,graduation approach and tailored coaching,competency-based curricula and RPL,fecal sludge management and hygiene nudges,remedial education and playful learning,A,graduation approach and tailored coaching
UPG,Ultra-Poor Graduation Programme (UPG),Which risk or challenge is Ultra-Poor Graduation Programme (UPG) MOST concerned with?,system downtime and data risks,urban disaster and infrastructure gaps,displacement and protection risks,chronic poverty and shocks,D,chronic poverty and shocks
SDP,BRAC Skills Development Programme (SDP),Which area is MOST central to BRAC Skills Development Programme (SDP)?,digital platforms and IT services,skills training and employability,migration support services,saplings and horticulture,B,skills training and employability
SDP,BRAC Skills Development Programme (SDP),Who are the primary participants/beneficiaries for BRAC Skills Development Programme (SDP)?,hard-to-reach communities,aspiring and returning migrants,low-income entrepreneurs,youth and jobseekers,D,youth and jobseekers
SDP,BRAC Skills Development Programme (SDP),Which activity best matches BRAC Skills Development Programme (SDP)’s core work?,"clubs, volunteering and innovation challenges",improving access to basic services in informal settlements,TVET and apprenticeships,community health workers and clinics,C,TVET and apprenticeships
SDP,BRAC Skills Development Programme (SDP),Which Sustainable Development Goal aligns BEST with BRAC Skills Development Programme (SDP)?,SDG 13: Climate Action,SDG 10: Reduced Inequalities,SDG 11: Sustainable Cities and Communities,SDG 8: Decent Work and Economic Growth,D,SDG 8: Decent Work and Economic Growth
SDP,BRAC Skills Development Programme (SDP),BRAC Skills Development Programme (SDP) operates primarily in which setting?,rural and peri-urban areas,training centres and workplaces,learning centres and home study,community and policy platforms,B,training centres and workplaces
SDP,BRAC Skills Development Programme (SDP),Which indicator BEST reflects success for BRAC Skills Development Programme (SDP)?,job placement and earnings,literacy/numeracy gains and retention,youth participation and projects delivered,yields and farmer income,A,job placement and earnings
SDP,BRAC Skills Development Programme (SDP),BRAC Skills Development Programme (SDP) commonly partners with which stakeholders?,hatcheries and extension providers,"UN agencies, NGOs and government",industry and training providers,growers and local distributors,C,industry and training providers
SDP,BRAC Skills Development Programme (SDP),What is the MAIN delivery channel used by BRAC Skills Development Programme (SDP)?,adaptation clinics and community workshops,"edutainment, dialogues and community mobilisation",agro-dealer networks and demos,work-based learning and certification,D,work-based learning and certification
SDP,BRAC Skills Development Programme (SDP),Which innovation is TYPICAL of BRAC Skills Development Programme (SDP)?,salinity-smart practices and vulnerability mapping,neighbourhood upgrading and co-designed service solutions,pre-departure orientation and referrals,competency-based curricula and RPL,D,competency-based curricula and RPL
SDP,BRAC Skills Development Programme (SDP),Which risk or challenge is BRAC Skills Development Programme (SDP) MOST concerned with?,service fragmentation and access barriers,skills mismatch and job scarcity,"cyclones, floods and storm surges",spoilage and price volatility,B,skills mismatch and job scarcity
BHP,BRAC Health Programme,Which area is MOST central to BRAC Health Programme?,youth leadership and opportunities,primary health and community health systems,agri-inputs and improved seed,aquaculture and fisheries services,B,primary health and community health systems
BHP,BRAC Health Programme,Who are the primary participants/beneficiaries for BRAC Health Programme?,"women, children and families",low-income urban residents,climate-vulnerable households,ultra-poor households,A,"women, children and families"
BHP,BRAC Health Programme,Which activity best matches BRAC Health Programme’s core work?,"sequenced support: assets, coaching and savings",community health workers and clinics,self-learning worksheets and guided practice,production and sale of plant saplings,B,community health workers and clinics
BHP,BRAC Health Programme,Which Sustainable Development Goal aligns BEST with BRAC Health Programme?,SDG 1: No Poverty,"SDG 16: Peace, Justice and Strong Institutions",SDG 2: Zero Hunger,SDG 3: Good Health and Well-being,D,SDG 3: Good Health and Well-being
BHP,BRAC Health Programme,BRAC Health Programme operates primarily in which setting?,migration hubs and community centres,rural and urban learning spaces,communities and health facilities,nurseries and community spaces,C,communities and health facilities
BHP,BRAC Health Programme,Which indicator BEST reflects success for BRAC Health Programme?,service uptake and health outcomes,youth participation and projects delivered,sustained income and asset growth,seed sales and varietal adoption,A,service uptake and health outcomes
BHP,BRAC Health Programme,BRAC Health Programme commonly partners with which stakeholders?,internal programmes and tech partners,government health system and partners,community groups and financial institutions,local government and technical agencies,B,government health system and partners
BHP,BRAC Health Programme,What is the MAIN delivery channel used by BRAC Health Programme?,community platforms and ward-level forums,household visits and health campaigns,"clubs, bootcamps and events",capacity building and advocacy,B,household visits and health campaigns
BHP,BRAC Health Programme,Which innovation is TYPICAL of BRAC Health Programme?,improved breeds and pond management,personalised pacing and mastery learning,neighbourhood upgrading and co-designed service solutions,digital registers and tele-counselling,D,digital registers and tele-counselling
BHP,BRAC Health Programme,Which risk or challenge is BRAC Health Programme MOST concerned with?,income shocks and limited collateral,system downtime and data risks,discrimination and harmful norms,preventable illness and access gaps,D,preventable illness and access gaps
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which area is MOST central to BRAC Humanitarian Crisis Management Programme (HCMP)?,youth leadership and opportunities,integrated rural development,humanitarian response and protection,dairy processing and nutrition,C,humanitarian response and protection
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Who are the primary participants/beneficiaries for BRAC Humanitarian Crisis Management Programme (HCMP)?,households and schools,people affected by crises,fish farmers and value chain actors,climate-vulnerable households,B,people affected by crises
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which activity best matches BRAC Humanitarian Crisis Management Programme (HCMP)’s core work?,multi-sector humanitarian assistance,self-learning worksheets and guided practice,"fingerlings, feed and best practices",building and maintaining digital systems,A,multi-sector humanitarian assistance
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which Sustainable Development Goal aligns BEST with BRAC Humanitarian Crisis Management Programme (HCMP)?,SDG 5: Gender Equality,"SDG 16: Peace, Justice and Strong Institutions",SDG 2: Zero Hunger,SDG 15: Life on Land,B,"SDG 16: Peace, Justice and Strong Institutions"
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),BRAC Humanitarian Crisis Management Programme (HCMP) operates primarily in which setting?,training centres and workplaces,learning centres and home study,camps and host communities,rural and urban learning spaces,C,camps and host communities
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which indicator BEST reflects success for BRAC Humanitarian Crisis Management Programme (HCMP)?,campaign reach and engagement,youth participation and projects delivered,number of neighbourhoods with better services and governance,people reached with timely support,D,people reached with timely support
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),BRAC Humanitarian Crisis Management Programme (HCMP) commonly partners with which stakeholders?,local government and MFIs,community groups and financial institutions,local government and entrepreneurs,"UN agencies, NGOs and government",D,"UN agencies, NGOs and government"
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),What is the MAIN delivery channel used by BRAC Humanitarian Crisis Management Programme (HCMP)?,structured worksheets and feedback,service centres and outreach,adaptation clinics and community workshops,one-stop centres and outreach,B,service centres and outreach
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which innovation is TYPICAL of BRAC Humanitarian Crisis Management Programme (HCMP)?,improved breeds and pond management,integrated protection and basic services,diverse species and better propagation,competency-based curricula and RPL,B,integrated protection and basic services
HCMP,BRAC Humanitarian Crisis Management Programme (HCMP),Which risk or challenge is BRAC Humanitarian Crisis Management Programme (HCMP) MOST concerned with?,displacement and protection risks,low awareness and limited participation,discrimination and harmful norms,chronic poverty and shocks,A,displacement and protection risks
DAIRY,BRAC Dairy and Food Project,Which area is MOST central to BRAC Dairy and Food Project?,social empowerment and legal aid,dairy processing and nutrition,youth leadership and opportunities,social behaviour change and citizen voice,B,dairy processing and nutrition
DAIRY,BRAC Dairy and Food Project,Who are the primary participants/beneficiaries for BRAC Dairy and Food Project?,farmers,smallholder farmers and consumers,women and vulnerable groups,fish farmers and value chain actors,B,smallholder farmers and consumers
DAIRY,BRAC Dairy and Food Project,Which activity best matches BRAC Dairy and Food Project’s core work?,locally led adaptation planning and pilots,community health workers and clinics,safe water access and sanitation behaviour change,"milk collection, processing and distribution",D,"milk collection, processing and distribution"
DAIRY,BRAC Dairy and Food Project,Which Sustainable Development Goal aligns BEST with BRAC Dairy and Food Project?,"SDG 16: Peace, Justice and Strong Institutions",SDG 5: Gender Equality,SDG 2: Zero Hunger,"SDG 9: Industry, Innovation and Infrastructure",C,SDG 2: Zero Hunger
DAIRY,BRAC Dairy and Food Project,BRAC Dairy and Food Project operates primarily in which setting?,ponds and aquaculture hubs,"schools, campuses and communities",milk sheds and markets,flood- and cyclone-prone areas,C,milk sheds and markets
DAIRY,BRAC Dairy and Food Project,Which indicator BEST reflects success for BRAC Dairy and Food Project?,repayment rates and enterprise growth,milk quality and volumes processed,clients counselled and safe migration outcomes,service uptake and health outcomes,B,milk quality and volumes processed
DAIRY,BRAC Dairy and Food Project,BRAC Dairy and Food Project commonly partners with which stakeholders?,dairy farmers and retailers,internal programmes and tech partners,local government and entrepreneurs,hatcheries and extension providers,A,dairy farmers and retailers
DAIRY,BRAC Dairy and Food Project,What is the MAIN delivery channel used by BRAC Dairy and Food Project?,"apps, data systems and support desks",service centres and outreach,"edutainment, dialogues and community mobilisation",cold chain and distribution networks,D,cold chain and distribution networks
DAIRY,BRAC Dairy and Food Project,Which innovation is TYPICAL of BRAC Dairy and Food Project?,high-yield and stress-tolerant varieties,tailored loan products and client-centric design,improved breeds and pond management,quality testing and value-added products,D,quality testing and value-added products
DAIRY,BRAC Dairy and Food Project,Which risk or challenge is BRAC Dairy and Food Project MOST concerned with?,spoilage and price volatility,service fragmentation and access barriers,displacement and protection risks,chronic poverty and shocks,A,spoilage and price volatility
SEED,BRAC Seed and Agro Enterprise,Which area is MOST central to BRAC Seed and Agro Enterprise?,gender justice and diversity,agri-inputs and improved seed,social empowerment and legal aid,skills training and employability,B,agri-inputs and improved seed
SEED,BRAC Seed and Agro Enterprise,Who are the primary participants/beneficiaries for BRAC Seed and Agro Enterprise?,fish farmers and value chain actors,people affected by crises,farmers,ultra-poor households,C,farmers
SEED,BRAC Seed and Agro Enterprise,Which activity best matches BRAC Seed and Agro Enterprise’s core work?,multi-sector humanitarian assistance,production and distribution of quality seed,multi-sector services through one platform,"clubs, volunteering and innovation challenges",B,production and distribution of quality seed
SEED,BRAC Seed and Agro Enterprise,Which Sustainable Development Goal aligns BEST with BRAC Seed and Agro Enterprise?,SDG 6: Clean Water and Sanitation,SDG 1: No Poverty,SDG 2: Zero Hunger,SDG 11: Sustainable Cities and Communities,C,SDG 2: Zero Hunger
SEED,BRAC Seed and Agro Enterprise,BRAC Seed and Agro Enterprise operates primarily in which setting?,rural and urban communities,agricultural regions,institutions and communities,camps and host communities,B,agricultural regions
SEED,BRAC Seed and Agro Enterprise,Which indicator BEST reflects success for BRAC Seed and Agro Enterprise?,service uptake and health outcomes,clients counselled and safe migration outcomes,milk quality and volumes processed,seed sales and varietal adoption,D,seed sales and varietal adoption
SEED,BRAC Seed and Agro Enterprise,BRAC Seed and Agro Enterprise commonly partners with which stakeholders?,research institutes and dealers,community groups and financial institutions,local government and programme clusters,hatcheries and extension providers,A,research institutes and dealers
SEED,BRAC Seed and Agro Enterprise,What is the MAIN delivery channel used by BRAC Seed and Agro Enterprise?,coaching visits and group platforms,agro-dealer networks and demos,retail outlets and fairs,community platforms and ward-level forums,B,agro-dealer networks and demos
SEED,BRAC Seed and Agro Enterprise,Which innovation is TYPICAL of BRAC Seed and Agro Enterprise?,pre-departure orientation and referrals,high-yield and stress-tolerant varieties,youth-led solutions and peer learning,co-located services and last-mile delivery,B,high-yield and stress-tolerant varieties
SEED,BRAC Seed and Agro Enterprise,Which risk or challenge is BRAC Seed and Agro Enterprise MOST concerned with?,urban disaster and infrastructure gaps,system downtime and data risks,low seed quality and yield gaps,"fraud, exploitation and misinformation",C,low seed quality and yield gaps
NURSERY,Nursery,Which area is MOST central to Nursery?,saplings and horticulture,climate adaptation and resilience,social behaviour change and citizen voice,social empowerment and legal aid,A,saplings and horticulture
NURSERY,Nursery,Who are the primary participants/beneficiaries for Nursery?,households and schools,hard-to-reach communities,climate-vulnerable households,households and farmers,D,households and farmers
NURSERY,Nursery,Which activity best matches Nursery’s core work?,production and sale of plant saplings,school support and learning centres,advocacy campaigns and policy dialogue,"sequenced support: assets, coaching and savings",A,production and sale of plant saplings
NURSERY,Nursery,Which Sustainable Development Goal aligns BEST with Nursery?,SDG 15: Life on Land,SDG 1: No Poverty,SDG 2: Zero Hunger,"SDG 16: Peace, Justice and Strong Institutions",A,SDG 15: Life on Land
NURSERY,Nursery,Nursery operates primarily in which setting?,communities and health facilities,training centres and workplaces,salinity- and flood-affected regions,nurseries and community spaces,D,nurseries and community spaces
NURSERY,Nursery,Which indicator BEST reflects success for Nursery?,gender-responsive policies and practices,saplings sold and survival rates,households with preparedness plans and trained volunteers,safe water access and improved sanitation use,B,saplings sold and survival rates
NURSERY,Nursery,Nursery commonly partners with which stakeholders?,"schools, parents and communities",growers and local distributors,local organisations and mentors,city corporations and local government bodies,B,growers and local distributors
NURSERY,Nursery,What is the MAIN delivery channel used by Nursery?,group meetings and field visits,retail outlets and fairs,one-stop centres and outreach,adaptation clinics and community workshops,B,retail outlets and fairs
NURSERY,Nursery,Which innovation is TYPICAL of Nursery?,pre-departure orientation and referrals,diverse species and better propagation,improved breeds and pond management,fecal sludge management and hygiene nudges,B,diverse species and better propagation
NURSERY,Nursery,Which risk or challenge is Nursery MOST concerned with?,system downtime and data risks,water contamination and poor sanitation,discrimination and harmful norms,low survival and pest risks,D,low survival and pest risks
FISH,Fisheries,Which area is MOST central to Fisheries?,humanitarian response and protection,supplementary education in maths and reading,aquaculture and fisheries services,inclusive financial services,C,aquaculture and fisheries services
FISH,Fisheries,Who are the primary participants/beneficiaries for Fisheries?,young people,fish farmers and value chain actors,climate-vulnerable households,school-age children,B,fish farmers and value chain actors
FISH,Fisheries,Which activity best matches Fisheries’s core work?,TVET and apprenticeships,multi-sector services through one platform,"fingerlings, feed and best practices",production and distribution of quality seed,C,"fingerlings, feed and best practices"
FISH,Fisheries,Which Sustainable Development Goal aligns BEST with Fisheries?,SDG 5: Gender Equality,SDG 2: Zero Hunger,SDG 15: Life on Land,SDG 1: No Poverty,B,SDG 2: Zero Hunger
FISH,Fisheries,Fisheries operates primarily in which setting?,training centres and workplaces,agricultural regions,community justice and referral networks,ponds and aquaculture hubs,D,ponds and aquaculture hubs
FISH,Fisheries,Which indicator BEST reflects success for Fisheries?,yields and farmer income,repayment rates and enterprise growth,cases resolved and referrals supported,gender-responsive policies and practices,A,yields and farmer income
FISH,Fisheries,Fisheries commonly partners with which stakeholders?,civil society and media,hatcheries and extension providers,internal programmes and tech partners,city corporations and local government bodies,B,hatcheries and extension providers
FISH,Fisheries,What is the MAIN delivery channel used by Fisheries?,one-stop centres and outreach,community platforms and ward-level forums,demo ponds and advisory,group meetings and field visits,C,demo ponds and advisory
FISH,Fisheries,Which innovation is TYPICAL of Fisheries?,gender audits and inclusive design,community early warning and contingency planning,improved breeds and pond management,high-yield and stress-tolerant varieties,C,improved breeds and pond management
FISH,Fisheries,Which risk or challenge is Fisheries MOST concerned with?,"disease, water quality and input costs",learning gaps and foundational skill deficits,skills mismatch and job scarcity,discrimination and harmful norms,A,"disease, water quality and input costs"